input,time
2000,4185.808267125952
4000,4509.766604627906
6000,5473.988944239708
8000,6703.450256253559
10000,6757.904198935544
12000,6882.348003222252
14000,6929.563282248272
16000,7096.928589781874
18000,7224.314798239496
20000,7197.163228684603
22000,7238.239819393028
24000,7275.066250306714
26000,7343.833247150629
28000,7466.705034543788
30000,7463.925510835225
32000,7507.618745203977
34000,7584.070774741094
36000,7593.377090670033
38000,7586.391407577215
40000,7705.333603704455
42000,7717.148727906688
44000,7720.986052995083
46000,7898.73696796369
48000,7691.692267806176
50000,7682.229627176949
52000,7739.050030021432
54000,8124.478182053873
56000,8024.904368857875
58000,7910.275592481978
60000,7999.226605975196
62000,7973.176885621659
64000,7954.803624659071
66000,7937.708087050652
68000,8000.933790741488
70000,7949.719891618875
72000,8021.3456517679815
74000,8064.302907361723
76000,7949.914121219475
78000,8036.806935622415
80000,7977.748157983553
82000,8039.537680945367
84000,8030.7361504446435
86000,8109.382371295053
88000,8118.841067981147
90000,9679.395917772737
92000,9437.434457046445
94000,9435.579543238231
96000,9474.399603471764
98000,9509.190474138859
100000,9575.880086533429
102000,9509.235056900934
104000,9506.673002855772
106000,9617.295035948675
108000,9552.548524226877
110000,9574.469080271798
112000,8863.7105443557
114000,8855.885566165269
116000,9670.77401894063
118000,9655.730401817704
120000,9691.04076207478
122000,9597.990043706779
124000,9738.615035497343
126000,9737.03435629132
128000,9753.890248168618
130000,9886.31569001341
132000,9783.299743518302
134000,9738.157688356292
136000,9176.217244458532
138000,8516.045566059232
140000,10027.83214113662
142000,9798.960931894313
144000,9116.167795654163
146000,8547.812998335616
148000,8503.721140181036
150000,8363.122017868161
152000,8359.369371615037
154000,8401.566568229848
156000,8356.183253691775
158000,8730.239824359933
160000,9442.357812748482
162000,9087.01189164053
164000,8932.689497079606
166000,9185.745704649065
168000,9390.30055509296
170000,9958.833014269943
172000,9885.340279289587
174000,9915.331459981775
176000,9869.08340283043
178000,9880.844343847904
180000,9953.62322445878
182000,8920.838656800157
184000,8893.421411486359
186000,8790.97169114199
188000,8764.644370357193
190000,8764.189181397182
192000,8802.30200191088
194000,8890.477429253968
196000,8851.928204607826
198000,8851.606158028148
