input	time
22500	12933.3348905427
22600	13086.5357253477
22700	12135.4472170691
22800	13097.9430211648
22900	12141.1101994672
23000	13098.9210769134
23100	12328.759719864
23200	12978.5630678308
23300	12313.5200883171
23400	12976.9810445444
23500	13028.0864495813
23600	12556.4487168019
23700	12353.4268655737
23800	12180.3648896587
23900	12387.9704787098
24000	12315.5148681244
24100	12183.2249618486
24200	12098.1617638281
24300	12973.3596998615
24400	13470.6111639853
24500	12317.6991913796
24600	12306.7537025912
24700	12215.2451338063
24800	12283.8890228003
24900	13104.6642912284
25000	13076.1790319068
25100	13082.9818281621
25200	12518.3662361827
25300	12196.8326694452
25400	12428.8656862016
25500	12124.0503488033
25600	13064.1137027504
25700	12467.4435773609
25800	12288.221758061
25900	12444.6243656129
26000	12124.5821264193
26100	12960.2874937739
26200	13414.4976356982
26300	12289.8759056861
26400	13174.1509812752
26500	12561.5356165015
26600	12271.0373142745
26700	13064.5686665363
26800	13038.7287385105
26900	13188.3463293942
27000	13410.7362540587
27100	12293.8732959135
27200	13493.3407897908
27300	12278.6312317103
27400	12439.4733433631
27500	12446.4997111099
27600	12304.9734660768
27700	12513.2932101613
27800	12287.1531860639
27900	13022.102429719
28000	13372.4655732761
28100	12231.2702462248
28200	13379.534722359
28300	12465.4102175509
28400	12429.901615421
28500	12478.3521963049
28600	12587.3155140463
28700	12365.0941892923
28800	12426.2059575847
28900	12377.7249662628
29000	12410.9011682037
29100	12431.9999389077
29200	12339.6728412209
29300	12337.1902775513
29400	13123.4974244045
29500	13166.0938346284
29600	13516.2799222219
29700	12360.0675685281
29800	12430.1310519428
29900	13113.0527686836
30000	13481.0030185297
30100	12626.2955861779
30200	12515.5843619734
30300	12421.7012383617
30400	12415.0608920354
30500	12342.0425684611
30600	13101.6912298156
30700	13461.9497319932
30800	12547.4016031804
30900	12212.395305269
31000	13519.9210714017
31100	12249.1301791003
31200	13414.0547722748
31300	12708.1017043014
31400	12341.5347471152
31500	13466.9411461769
31600	12443.58170739
31700	12400.2547888356
31800	13495.0905733423
31900	12499.8090972104
32000	12433.8407772249
32100	13451.2939020211
32200	14643.873667611
32300	19400.3509850395
32400	14038.5692920758
32500	12505.1302876249
32600	13497.7203398785
32700	12449.5830159124
32800	13383.8470726527
32900	12764.6514307715
33000	12382.7890228587
33100	13551.3509679455
33200	12362.0857834196
33300	13426.8416077464
33400	12568.8027139146
33500	12710.3412648135
33600	16099.7753795482
33700	17781.7695475422
33800	12573.9000424065
33900	13557.5165929747
34000	15618.9362416217
34100	19113.6900217987
34200	17215.7712663134
34300	14372.1589606704
34400	13718.0323192258
34500	12411.6833097691
34600	13499.8021637834
34700	13244.2377433165
34800	13484.2682575615
34900	13559.146278721
35000	12408.1433306137
35100	13520.2258918199
35200	12679.1555812992
35300	13593.6979090271
35400	12370.0642280735
35500	14200.6054322549
35600	14589.2409651716
35700	25291.4996436341
35800	21223.4761808696
35900	29398.3998031563
36000	16795.9918703453
36100	12884.3934822822
36200	12891.3018057146
36300	12843.2071386812
36400	12620.0162729434
36500	12834.425760809
36600	12546.6415745039
36700	13484.0437270473
36800	12911.9679829951
36900	12566.7274336869
37000	13410.3170369881
37100	12754.2005396842
37200	12733.7012834566
37300	12678.4847139849
37400	12541.820231195
37500	12569.6845353616
37600	12856.7584212719
37700	12594.0001562044
37800	12717.6298431212
37900	12634.8414214055
38000	13222.0869973304
38100	13518.9059898104
38200	13515.3283982792
38300	12721.7073736796
38400	12686.0435736215
38500	12495.6477796473
38600	13502.8442971914
38700	13592.249323139
38800	12674.9414603135
38900	12838.169586317
39000	12627.7845435457
39100	12914.6421785797
39200	12443.4314808149
39300	13949.6328573165
39400	12860.1848087558
39500	12728.4692080709
39600	12840.7740285467
39700	12739.4498949059
39800	12605.6352195288
39900	12835.2976031679
40000	12645.755238209
40100	13616.4546368929
40200	12704.7000212825
40300	12782.3720716076
40400	12734.0930228081
40500	12770.8643809722
40600	12667.4052720451
40700	13651.0387115444
40800	13039.2241890637
40900	12717.5257797495
41000	12679.8693194291
41100	12692.7083257862
41200	13603.4498555821
41300	12824.2318246753
41400	13781.8843206772
41500	12726.9410707927
41600	12679.3537696415
41700	13622.5712645118
41800	12643.480716323
41900	13647.5261536095
42000	12727.7697533591
42100	12862.8084476338
42200	12661.4305250935
42300	12529.1588157573
42400	13594.9893055275
42500	13663.5398262479
42600	13896.7937162069
42700	12863.3362485981
42800	12873.6031947123
42900	12792.7423044349
43000	12775.1354938902
43100	12584.8659290176
43200	12780.2854508371
43300	12820.2722665442
43400	12774.6952347548
43500	13622.9634379654
43600	12748.0286901852
43700	12832.7936913137
43800	12520.8270949444
43900	13573.5599001769
44000	13680.9423912687
44100	12721.8066006717
44200	13635.5662156013
